source,target,community_source,community_target
152,419,5,5
421,531,5,5
421,532,5,5
150,421,5,5
151,421,5,5
152,421,5,5
422,423,5,5
422,533,5,5
150,422,5,5
151,422,5,5
152,422,5,5
423,533,5,5
150,423,5,5
151,423,5,5
152,423,5,5
424,428,5,5
424,429,5,5
150,424,5,5
151,424,5,5
152,424,5,5
425,426,5,5
425,427,5,5
150,425,5,5
151,425,5,5
152,425,5,5
426,427,5,5
150,426,5,5
151,426,5,5
152,426,5,5
428,429,5,5
150,428,5,5
151,428,5,5
152,428,5,5
430,431,5,5
430,432,5,5
150,430,5,5
151,430,5,5
152,430,5,5
431,432,5,5
150,431,5,5
151,431,5,5
152,431,5,5
433,534,5,5
433,434,5,5
150,433,5,5
151,433,5,5
152,433,5,5
435,440,5,5
435,441,5,5
150,435,5,5
151,435,5,5
152,435,5,5
436,535,5,5
436,437,5,5
150,436,5,5
151,436,5,5
152,436,5,5
438,443,5,5
438,536,5,5
150,438,5,5
151,438,5,5
152,438,5,5
439,537,5,5
439,538,5,5
150,439,5,5
151,439,5,5
152,439,5,5
440,441,5,5
150,440,5,5
151,440,5,5
152,440,5,5
442,539,5,5
442,540,5,5
150,442,5,5
151,442,5,5
152,442,5,5
443,536,5,5
150,443,5,5
151,443,5,5
152,443,5,5
444,445,5,5
444,541,5,5
150,444,5,5
151,444,5,5
152,444,5,5
445,541,5,5
150,445,5,5
151,445,5,5
152,445,5,5
446,542,5,5
446,447,5,5
150,446,5,5
151,446,5,5
152,446,5,5
448,450,5,5
448,449,5,5
150,448,5,5
151,448,5,5
152,448,5,5
449,450,5,5
150,450,5,5
151,450,5,5
152,450,5,5
451,453,5,5
451,454,5,5
150,451,5,5
151,451,5,5
152,451,5,5
452,455,5,5
452,543,5,5
150,452,5,5
151,452,5,5
152,452,5,5
453,454,5,5
150,453,5,5
151,453,5,5
152,453,5,5
455,543,5,5
150,455,5,5
151,455,5,5
152,455,5,5
456,544,5,5
456,545,5,5
150,456,5,5
151,456,5,5
152,456,5,5
457,458,5,5
457,546,5,5
150,457,5,5
151,457,5,5
152,457,5,5
458,546,5,5
150,458,5,5
151,458,5,5
152,458,5,5
459,547,5,5
459,460,5,5
150,459,5,5
151,459,5,5
152,459,5,5
461,548,5,5
461,549,5,5
150,461,5,5
151,461,5,5
152,461,5,5
462,550,5,5
462,551,5,5
150,462,5,5
151,462,5,5
152,462,5,5
463,464,5,5
463,465,5,5
150,463,5,5
151,463,5,5
152,463,5,5
464,465,5,5
150,464,5,5
151,464,5,5
152,464,5,5
466,552,5,5
466,553,5,5
150,466,5,5
151,466,5,5
152,466,5,5
467,554,5,5
467,555,5,5
150,467,5,5
151,467,5,5
152,467,5,5
468,556,5,5
468,557,5,5
150,468,5,5
151,468,5,5
152,468,5,5
469,472,5,5
469,558,5,5
150,469,5,5
151,469,5,5
152,469,5,5
470,471,5,5
470,559,5,5
150,470,5,5
151,470,5,5
152,470,5,5
471,559,5,5
150,471,5,5
151,471,5,5
152,471,5,5
472,558,5,5
150,472,5,5
151,472,5,5
152,472,5,5
473,492,5,5
473,560,5,5
150,473,5,5
151,473,5,5
152,473,5,5
493,494,5,5
498,499,5,5
501,502,5,5
506,507,5,5
509,510,5,5
519,520,5,5
529,530,5,5
544,545,5,5
550,551,5,5
554,555,5,5
498,561,5,5
498,499,5,5
150,498,5,5
151,498,5,5
152,498,5,5
537,538,5,5
149,537,5,5
150,537,5,5
151,537,5,5
152,537,5,5
495,496,5,5
495,562,5,5
150,495,5,5
151,495,5,5
152,495,5,5
493,497,5,5
494,497,5,5
150,497,5,5
151,497,5,5
152,497,5,5
500,501,5,5
500,502,5,5
150,500,5,5
151,500,5,5
152,500,5,5
503,563,5,5
503,564,5,5
150,503,5,5
151,503,5,5
152,503,5,5
505,506,5,5
505,507,5,5
150,505,5,5
151,505,5,5
152,505,5,5
508,565,5,5
508,566,5,5
150,508,5,5
151,508,5,5
152,508,5,5
511,567,5,5
511,568,5,5
150,511,5,5
151,511,5,5
152,511,5,5
513,569,5,5
513,570,5,5
150,513,5,5
151,513,5,5
152,513,5,5
515,516,5,5
516,571,5,5
150,516,5,5
151,516,5,5
152,516,5,5
569,570,5,5
176,177,5,5
35,176,1,5
149,176,5,5
150,176,5,5
151,176,5,5
152,176,5,5
147,148,5,5
35,147,1,5
147,149,5,5
147,150,5,5
147,151,5,5
147,152,5,5
35,572,1,1
35,573,1,1
35,574,1,2
35,575,1,2
35,576,1,1
35,577,1,1
35,578,1,1
35,579,1,1
35,580,1,1
35,581,1,1
35,582,1,1
35,583,1,1
35,584,1,1
35,585,1,1
35,586,1,1
35,587,1,1
35,589,1,1
35,590,1,1
